"","medida","pH","CE","MO","N","P","K","Ca","Mg","Al","CICe","BT","SAl","Arena","Limo","Arcilla"
"1","Promedio",4.80433333333333,1.372,2.49616666666667,0.108166666666667,5.38133333333333,0.454666666666667,1.69183333333333,0.212166666666667,1.88133333333333,4.54633333333333,2.35766666666667,41.0848333333333,57.3226666666667,20.0486666666667,22.6291666666667
"2","minimo",4.2,0.04,0.6,0.02,0.89,0.06,0.17,0,0.2,1.43,0.37,6.8,15.77,4.83,10.6
"3","maximo",5.9,4.19,6.9,0.28,28.92,2.69,4.38,1.11,6.8,9.03,7.08,93.03,83.32,43.73,42.5
"4","mediana",4.795,1.29,2.15,0.1,2.92,0.345,1.585,0.11,1.61,4.44,2.2,33.47,58.02,18.83,21.17
"5","Desviacion estandar",0.364976742545152,1.29001484684663,1.28590677847885,0.0485551116779325,6.14569312240713,0.424114098282033,0.917235144733597,0.255044639938937,1.25700810599259,1.53710598276758,1.25868288256815,21.824081745621,13.3500825702603,7.74810254884024,8.02532797611997
"6","varianza",0.13320802259887,1.66413830508475,1.65355624293785,0.0023575988700565,37.7695439548023,0.179872768361582,0.841320310734463,0.0650477683615819,1.58006937853107,2.36269480225989,1.58428259887006,476.290544039548,178.224704632768,60.0330931073446,64.4058891242938
"7","Coeficiente variacion",0.0759682389256543,0.940244057468392,0.51515261206337,0.448891633386125,1.14203910847506,0.932802268948753,0.542154553088522,1.20209571063128,0.66814746952122,0.338097950605084,0.533868040110906,0.531195576931171,0.232893606431318,0.38646472993251,0.354645316565788
