Arbol;Este;Norte;DAP_cm;Altura_T;Altura_C
118;494037.112;9023684.54;8.37153043;7.79;3.55
119;494031.713;9023683.759;6.84364655;7.51;4.21
120;494026.325;9023684.963;10.94983448;10.94;5.42
121;494020.899;9023685.551;12.31856379;12.91;6.92
122;494020.764;9023679.958;11.39546728;11.27;5.25
123;494031.85;9023679.71;4.933791698;5.75;3.42
124;494036.8;9023679.663;7.448433919;7.13;4.27
125;494046.336;9023680.634;9.326457856;9.25;5.1
126;494052.748;9023680.404;8.467023173;9.02;6.11
127;494057.818;9023681.052;9.294626942;10.78;5.63
128;494062.811;9023680.885;13.84644767;13.1;6.16
129;494072.228;9023681.456;13.36898396;12.46;5.13
130;494057.616;9023675.214;8.848994143;9.6;5.98
131;494052.776;9023675.238;13.27349121;12.62;6.3
132;494047.245;9023674.812;7.321110262;7.63;2.6
133;494042.124;9023674.583;10.75884899;9.41;4.01
134;494036.093;9023674.581;7.957728546;9.92;3.58
135;494031.17;9023674.555;4.583651642;5.17;3.21
136;494026.117;9023674.954;4.329004329;4.23;2.16
137;494020.805;9023674.856;7.798573975;9.34;5.5
138;494021.307;9023670.369;7.480264833;7.61;3.91
139;494026.331;9023669.88;4.933791698;4.94;2.4
140;494031.573;9023669.113;7.00280112;6.9;3.05
141;494036.536;9023669.543;5.570409982;5.96;3.65
142;494041.575;9023669.38;7.639419404;5.52;3.01
143;494046.518;9023669.946;5.411255411;5.43;3.13
144;494051.84;9023670.119;6.684491979;6.44;4.04
145;494056.7;9023670.521;10.98166539;10.91;5.09
146;494061.829;9023671.026;11.45912911;11.77;7.03
147;494067.003;9023671.284;11.14081996;10.49;4.56
148;494071.911;9023671.45;14.45123504;11.99;8.19
149;494076.671;9023671.407;12.63687293;12.85;8.28
150;494076.432;9023666.777;9.549274255;11.34;4.46
151;494071.46;9023666.425;10.98166539;12.4;6.54
152;494067.691;9023666.191;7.957728546;10.79;6.32
153;494061.62;9023666.281;7.321110262;9.17;4.38
154;494056.824;9023665.345;9.867583397;10.09;4.87
155;494051.551;9023664.954;13.36898396;11.83;6.82
156;494046.477;9023665.022;7.957728546;8.92;4.85
157;494041.996;9023664.65;4.774637128;4.19;2.6
158;494036.287;9023664.568;11.77743825;10.57;4.07
159;494031.663;9023664.865;4.615482557;4.46;2.71
160;494026.608;9023665.116;9.390119684;8.88;4.22
161;494020.748;9023665.64;6.366182837;6.92;3.58
