"","Estimate","Std..Error","t.value","Pr...t.."
"S2_04_B4()",-4914.91613321541,1259.42447061188,-3.90250963666566,0.000280065890074973
"S2_05_B5",-895.145258954425,333.208561819253,-2.68644135092781,0.00972388022609175
"S2_26_CIVE",27.6117222575066,6.49111610174033,4.25377112729561,8.98454275857455e-05
"S2_14_ExR",2652.21692886007,767.527051984899,3.45553543943654,0.00111512510383469
"S2_15_ExB",-1989.73503960825,656.016622457093,-3.03305582739009,0.00380138253075068
"S2_30_MSAVI",-223.468103630951,94.0533069020125,-2.37597284977727,0.0212968863629211
"S2_51__ACP_1",527.027680753398,149.536170830832,3.5244160514824,0.000906031976709241
"S2_52__ACP_2",1007.58392554298,269.667803068695,3.73638941719087,0.000472347699507272
"S2_53__ACP_3",1929.67448801199,509.183747048339,3.78974093183063,0.000399803695762848
