"","Estimate","Std..Error","t.value","Pr...t.."
"S2_01_B1()",73.4287040052696,24.238737399842,3.02939475740797,0.00393821195114174
"S2_02_B2",-39.0127454178289,20.1829045514193,-1.93295991260512,0.0591521485807696
"S2_05_B5",24.4618095636636,8.9008221392976,2.74826405705418,0.00841610496301749
"S2_26_CIVE",-0.46569381666429,0.200935282535719,-2.31763088486715,0.0247788622118008
"S2_15_ExB",-44.7568535789576,28.600843135713,-1.56487881726364,0.124180985915408
"S2_20_MGRVI",-0.00368644896253674,0.000990886198663717,-3.72035554386385,0.00052120223790954
"S2_30_MSAVI",-27.9275410730965,4.73412275950267,-5.89920086399078,3.57268210401535e-07
"S2_42_SSI",0.96390578178031,0.218524001800224,4.4109835708643,5.79253685692999e-05
"S2_45_MDE",0.0540292457150941,0.0167716243618864,3.22146767357107,0.00229210047469145
"S2_47_aspect",0.00219228571489376,0.000843633691484519,2.59862276367372,0.0123954530233225
"S2_48_TPI",-1.74682298999438,0.536968861768368,-3.25311785164166,0.00209308070238907
"S2_51__ACP_1",-15.5070979255437,3.68172502728227,-4.21191094137483,0.00011074120033015
