"","Estimate","Std..Error","t.value","Pr...t.."
"S2_01_B1()",-65.8670639225828,26.1309926729036,-2.52064912906594,0.0156993676557897
"S2_04_B4",-485.956203633469,189.098167259079,-2.56986204931152,0.013906191711279
"S2_05_B5",-138.031954723227,54.0433804511806,-2.55409549829911,0.0144591788262141
"S2_06_B6",-36.1477420279339,14.6558922675994,-2.46643065928151,0.0179171445827851
"S2_09_B9",32.8762860305816,12.1111449878128,2.71454813427337,0.00966521406433785
"S2_11_B12",-123.794824458456,47.4537686690348,-2.60874590007509,0.0126241506714639
"S2_26_CIVE",3.5031348721167,1.38843884698547,2.52307466023628,0.0156062663287896
"S2_14_ExR",232.133430344593,88.0449461841807,2.63653327539089,0.0117754305495397
"S2_15_ExB",-100.65477697318,37.33622483174,-2.6959012976484,0.0101351686995207
"S2_16_IKAW",5.9571592319234,1.84311205760914,3.23211993938717,0.00242647578030759
"S2_25_NGBDI",-7.43285740670328,2.05075455523225,-3.62445002876588,0.000791693458209309
"S2_30_MSAVI",17.2870878127317,5.50742340763248,3.13887030889515,0.003139504777187
"S2_35_SIPI",-0.423019645401229,0.150491720969926,-2.81091639244237,0.00754172712560234
"S2_42_SSI",-0.0809363726674095,0.0400521424651152,-2.02077511179093,0.0498665722989561
"S2_38_CVI",-0.365130960465807,0.112090872358602,-3.2574548915783,0.00226107952522673
"S2_43_SCI",0.0473091173468093,0.0175340044198371,2.6981353610979,0.0100777719204987
"S2_51__ACP_1",164.909409078238,63.0029667540261,2.61748640698256,0.0123513170585784
"S2_52__ACP_2",166.052777214212,65.1724498233391,2.54789834760434,0.0146819844919715
"S2_53__ACP_3",241.325277018316,93.4985769314564,2.58105828921044,0.0135253277007204
