"","Variable suelo","R2 Ajustado"
"1","pH",0.997022225657654
"2","CE",0.603074623729271
"3","MO",0.864266551437305
"4","N",0.886944000631757
"5","P",0.617531896703225
"6","K",0.569505980194194
"7","Ca",0.871919883491381
"8","Mg",0.339607865210771
"9","Al",0.720508134487922
"10","CICe",0.90649803530859
"11","BT",0.862727845218999
"12","SAl",0.828476663782793
"13","Arena",0.959510837801688
"14","Limo",0.896421761466159
"15","Arcilla",0.898898313817413
