ID;ESTE;NORTE;pH;CE;MO;N;P;K;Ca;Mg;Al;CICe;BT;SAl;Arena;Limo;Arcilla
46;512318;9056669;4.4;2.46;4.5;0.18;9.01;0.99;2.28;0.05;1.81;5.71;3.32;31.68;45.4;30.39;24.21
47;512270;9056843;4.6;3.32;2.2;0.09;4.57;0.66;2.27;0.13;1;4.67;3.06;21.3;55.32;26.47;18.21
48;512236;9057010;4.9;2.69;3.2;0.13;6.98;1.03;1.99;0.11;1.81;5.43;3.13;33.3;57.32;26.47;16.21
49;512189;9056964;5.1;2.3;3.8;0.15;4.19;1.17;2.22;0.23;1.2;5.8;3.62;20.68;62.67;24.83;12.5
50;512052;9056811;4.7;1.66;2.3;0.09;2.03;0.45;1.5;0.04;1.61;4.49;1.98;35.77;56.67;16.83;26.5
51;512005;9056868;4.8;1.25;5;0.2;2.92;0.5;1.76;0.03;1.81;5.17;2.3;34.97;58.67;20.83;20.5
52;512071;9057046;4.7;1.98;4.4;0.18;2.16;0.67;3.56;0.04;2.42;7.25;4.27;33.36;48.67;12.83;38.5
53;512090;9057116;4.8;1.34;0.9;0.04;1.65;0.45;2.59;0.01;1.4;5.22;3.05;26.88;62.67;12.98;24.36
54;512166;9057120;4.8;1.96;1.8;0.07;2.03;0.34;2.49;0.02;1.81;5.16;2.85;35.06;66.67;10.98;22.36
55;512005;9056970;4.8;2.46;2.5;0.1;1.78;1.07;2.04;0.01;1.61;5.39;3.12;29.8;76.67;10.98;12.36
56;512466;9056373;4.3;3.23;1.9;0.08;1.9;0.41;1.6;0.01;1.2;3.9;2.02;30.74;66.67;18.98;14.36
57;512218;9056873;4.6;1.72;1.8;0.07;3.3;0.46;2.39;0.01;1.61;5.18;2.86;30.98;68.52;12.83;18.65
58;512098;9056849;4.5;2.35;2.2;0.09;1.9;0.39;1.35;0.01;1.61;3.9;1.74;41.13;60.52;18.83;20.65
59;512205;9056700;4.5;2.8;4.1;0.16;17.51;0.95;1.91;0.01;1.4;5.26;2.87;26.65;64.52;18.83;16.65
60;512708;9056443;4.4;1.7;0.6;0.02;1.65;0.79;1.77;0;1;4.47;2.57;22.26;82.52;4.83;12.65
