ID;ESTE;NORTE;pH;CE;MO;N;P;K;Ca;Mg;Al;CICe;BT;SAl;Arena;Limo;Arcilla;Textura
28;513236;9055922;4.50;0.15;2.02;0.10;1.65;0.14;0.91;0.17;3.20;4.41;1.21;72.52;54.13;15.15;30.72;Franco Arcillo Arenoso
29;513000;9056191;5.90;1.80;3.80;0.15;1.78;0.33;4.28;0.19;1.00;6.20;4.80;16.04;66.94;18.47;14.60;Franco Arenoso
30;513053;9056127;5.60;1.89;3.40;0.14;2.28;0.80;4.38;0.47;3.03;9.03;5.65;33.58;64.94;16.47;18.60;Franco Arenoso
31;513224;9055848;5.20;2.53;6.90;0.28;11.29;0.45;1.97;0.07;1.00;3.88;2.49;25.66;64.57;24.83;10.60;Franco Arenoso
32;513309;9055873;5.00;2.51;4.10;0.16;13.95;0.59;2.58;0.08;1.61;5.12;3.25;31.33;44.57;26.83;28.60;Franco Arcilloso
33;512837;9056369;4.90;1.87;3.70;0.15;13.07;0.67;2.43;0.38;1.20;4.96;3.48;24.17;56.57;26.68;16.75;Franco Arenoso
34;512744;9056358;5.00;1.04;1.80;0.07;8.75;0.35;1.49;0.07;0.79;3.10;1.91;25.52;78.57;8.68;12.75;Arena Franca
35;512727;9056299;5.30;2.21;1.10;0.04;7.10;1.10;1.31;0.02;1.20;4.05;2.43;29.57;80.57;8.68;10.75;Arena Franca
36;512683;9056301;5.10;3.06;1.50;0.06;3.81;0.93;1.66;0.01;1.20;4.10;2.60;29.24;76.57;10.68;12.75;Arena Franca
37;512638;9056523;5.20;1.33;2.60;0.10;13.07;0.88;1.31;0.04;1.20;3.71;2.23;32.33;63.32;23.93;12.75;Franco Arenoso
38;512560;9056441;5.10;1.69;2.90;0.12;2.28;0.31;1.16;0.01;1.00;2.78;1.48;35.83;71.32;17.27;11.40;Arena Franca
39;512600;9056483;5.40;3.80;3.00;0.12;2.28;2.69;3.27;1.11;1.40;8.79;7.08;15.95;69.32;15.27;15.40;Franco Arenoso
40;512632;9056625;4.70;3.75;2.50;0.10;9.51;0.57;1.24;0.02;1.40;3.50;1.83;40.07;43.32;35.27;21.40;Franco
41;512549;9056612;4.30;2.78;1.70;0.07;4.95;0.37;1.02;0.02;1.20;2.96;1.41;40.55;83.32;5.05;11.63;Arena Franca
42;512479;9056705;4.50;4.05;5.70;0.23;4.57;0.82;2.24;0.09;1.61;5.71;3.15;28.10;69.32;15.05;15.63;Franco Arenoso
43;512477;9056631;4.20;4.19;3.30;0.13;4.44;0.41;1.54;0.02;1.81;4.72;1.97;38.31;65.32;21.05;13.63;Franco Arenoso
44;512469;9056525;4.40;1.68;6.30;0.25;3.68;0.46;2.02;0.10;2.22;5.46;2.58;40.59;37.32;31.05;31.63;Franco Arcilloso
45;512382;9056468;4.20;3.69;2.50;0.10;2.92;0.52;1.25;0.04;1.81;4.26;1.81;42.44;47.40;28.39;24.21;Franco
46;512318;9056669;4.40;2.46;4.50;0.18;9.01;0.99;2.28;0.05;1.81;5.71;3.32;31.68;45.40;30.39;24.21;Franco
47;512270;9056843;4.60;3.32;2.20;0.09;4.57;0.66;2.27;0.13;1.00;4.67;3.06;21.30;55.32;26.47;18.21;Franco Arenoso
48;512236;9057010;4.90;2.69;3.20;0.13;6.98;1.03;1.99;0.11;1.81;5.43;3.13;33.30;57.32;26.47;16.21;Franco Arenoso
49;512189;9056964;5.10;2.30;3.80;0.15;4.19;1.17;2.22;0.23;1.20;5.80;3.62;20.68;62.67;24.83;12.50;Franco Arenoso
50;512052;9056811;4.70;1.66;2.30;0.09;2.03;0.45;1.50;0.04;1.61;4.49;1.98;35.77;56.67;16.83;26.50;Franco Arcillo Arenoso
51;512005;9056868;4.80;1.25;5.00;0.20;2.92;0.50;1.76;0.03;1.81;5.17;2.30;34.97;58.67;20.83;20.50;Franco Arcillo Arenoso
52;512071;9057046;4.70;1.98;4.40;0.18;2.16;0.67;3.56;0.04;2.42;7.25;4.27;33.36;48.67;12.83;38.50;Arcillo Arenoso
53;512090;9057116;4.80;1.34;0.90;0.04;1.65;0.45;2.59;0.01;1.40;5.22;3.05;26.88;62.67;12.98;24.36;Franco Arcillo Arenoso
54;512166;9057120;4.80;1.96;1.80;0.07;2.03;0.34;2.49;0.02;1.81;5.16;2.85;35.06;66.67;10.98;22.36;Franco Arcillo Arenoso
55;512005;9056970;4.80;2.46;2.50;0.10;1.78;1.07;2.04;0.01;1.61;5.39;3.12;29.80;76.67;10.98;12.36;Arena Franca
56;512466;9056373;4.30;3.23;1.90;0.08;1.90;0.41;1.60;0.01;1.20;3.90;2.02;30.74;66.67;18.98;14.36;Franco Arenoso
57;512218;9056873;4.60;1.72;1.80;0.07;3.30;0.46;2.39;0.01;1.61;5.18;2.86;30.98;68.52;12.83;18.65;Franco Arenoso
58;512098;9056849;4.50;2.35;2.20;0.09;1.90;0.39;1.35;0.01;1.61;3.90;1.74;41.13;60.52;18.83;20.65;Franco Arcillo Arenoso
59;512205;9056700;4.50;2.80;4.10;0.16;17.51;0.95;1.91;0.01;1.40;5.26;2.87;26.65;64.52;18.83;16.65;Franco Arenoso
60;512708;9056443;4.40;1.70;0.60;0.02;1.65;0.79;1.77;0.00;1.00;4.47;2.57;22.26;82.52;4.83;12.65;Arena Franca
